COUNTRY;SUBBRAND;YEAR;MONTH;SCENARIO;FORECAST;FORECAST_YEAR;AMOUNT
Denmark;Pepsi Max (L3);2024;5;AI_forecast;AI_P10F;2023;2,98248E+15
Hungary;7up (L3);2025;3;AI_forecast;AI_P11F;2023;0
Great Britain;7up Free (L3);2023;9;AI_forecast;AI_P02F;2023;1,31905E+15
Netherlands;Pepsi Max (L3);2024;10;AI_forecast;AI_P10F;2023;9,58587E+13
Netherlands;Pepsi Max (L3);2024;1;AI_forecast;AI_PF;2023;6,41304E+15
Czech;7up (L3);2024;7;AI_forecast;AI_P08F;2023;8,84581E+15
Hungary;Lipton (L3);2023;10;AI_forecast;AI_P05F;2023;3,09331E+15
Spain;7up (L3);2023;12;AI_forecast;AI_P06F;2023;1,07557E+16
Italy;Pepsi Max (L3);2024;2;AI_forecast;AI_P10F;2023;1,77372E+16
Spain;Pepsi Max (L3);2023;12;AI_forecast;AI_P04F;2023;8,41646E+15
Norway;7up (L3);2024;7;AI_forecast;AI_P10F;2023;6,82003E+15
Netherlands;Mountain Dew (L3);2024;7;AI_forecast;AI_P11F;2023;0
Netherlands;7up (L3);2024;6;AI_forecast;AI_PF;2023;1,34609E+16
Czech;Pepsi Regular (L3);2023;12;AI_forecast;AI_P09F;2023;1,21782E+16
Hungary;Mountain Dew (L3);2023;8;AI_forecast;AI_P05F;2023;4,87136E+16
Hungary;Pepsi Regular (L3);2024;6;AI_forecast;AI_P08F;2023;1,28763E+16
Great Britain;7up (L3);2024;12;AI_forecast;AI_P11F;2023;3,70671E+15
Norway;7up (L3);2023;12;AI_forecast;AI_P07F;2023;4,73065E+15
Spain;Pepsi Regular (L3);2024;10;AI_forecast;AI_P06F;2023;1,32049E+16
Great Britain;Pepsi Max (L3);2024;10;AI_forecast;AI_P09F;2023;9,80933E+14
Italy;Pepsi Max (L3);2025;1;AI_forecast;AI_P08F;2023;1,92847E+16
Great Britain;Lipton (L3);2025;1;AI_forecast;AI_P09F;2023;7,37736E+14
Great Britain;7up Free (L3);2023;2;AI_forecast;AI_P02F;2023;1,23905E+15
Great Britain;7up Free (L3);2023;9;AI_forecast;AI_P04F;2023;1,3008E+16
Spain;Pepsi Max (L3);2024;9;AI_forecast;AI_P09F;2023;1,67541E+16
Netherlands;Pepsi Max (L3);2024;7;AI_forecast;AI_P04F;2023;1,05236E+16
Denmark;Pepsi Regular (L3);2023;8;AI_forecast;AI_P07F;2023;2,40195E+15
Italy;7up (L3);2024;7;AI_forecast;AI_P08F;2023;2,10498E+16
Portugal;Pepsi Regular (L3);2023;5;AI_forecast;AI_PF;2023;1,85215E+16
Hungary;Pepsi Max (L3);2024;2;AI_forecast;AI_P12F;2023;4,0217E+16
Denmark;7up Free (L3);2024;10;AI_forecast;AI_P07F;2023;1,6893E+16
Hungary;7up Free (L3);2023;3;AI_forecast;AI_PF;2023;1,40888E+16
Denmark;Pepsi Max (L3);2024;3;AI_forecast;AI_P04F;2023;1,71643E+15
Denmark;Pepsi Max (L3);2023;9;AI_forecast;AI_P05F;2023;1,90017E+15
Denmark;Pepsi Max (L3);2023;12;AI_forecast;AI_P02F;2023;2,00512E+16
Great Britain;7up Free (L3);2025;3;AI_forecast;AI_P11F;2023;1,46501E+16
Netherlands;Pepsi Max (L3);2024;11;AI_forecast;AI_P09F;2023;7,88825E+15
Norway;Pepsi Max (L3);2023;8;AI_forecast;AI_P03F;2023;3,07605E+15
Denmark;7up (L3);2024;6;AI_forecast;AI_P07F;2023;0
Norway;Pepsi Regular (L3);2023;12;AI_forecast;AI_P05F;2023;4,19584E+14
Czech;Mountain Dew (L3);2024;11;AI_forecast;AI_P06F;2023;7,77917E+14
Denmark;Pepsi Max (L3);2024;4;AI_forecast;AI_P08F;2023;2,67299E+16
Portugal;7up (L3);2024;2;AI_forecast;AI_P08F;2023;1,55435E+16
Czech;Pepsi Max (L3);2024;9;AI_forecast;AI_P07F;2023;4,33119E+15
Great Britain;7up Free (L3);2024;6;AI_forecast;AI_P07F;2023;1,07184E+16
Great Britain;7up Free (L3);2023;7;AI_forecast;AI_P06F;2023;1,40356E+15
Netherlands;7up Free (L3);2024;2;AI_forecast;AI_P11F;2023;1,28086E+15
Spain;Lipton (L3);2024;2;AI_forecast;AI_P02F;2023;5,90413E+15
Netherlands;Pepsi Max (L3);2024;7;AI_forecast;AI_P09F;2023;9,26949E+15
Norway;Pepsi Regular (L3);2023;12;AI_forecast;AI_P09F;2023;3,51024E+15
Spain;Pepsi Regular (L3);2024;9;AI_forecast;AI_P09F;2023;1,71252E+16
Spain;7up (L3);2024;1;AI_forecast;AI_P09F;2023;5,52799E+15
Great Britain;Pepsi Max (L3);2024;9;AI_forecast;AI_P10F;2023;1,10528E+23
Hungary;Mountain Dew (L3);2024;5;AI_forecast;AI_P12F;2023;5,50398E+15
Denmark;Pepsi Max (L3);2024;9;AI_forecast;AI_P12F;2023;1,72092E+16
Hungary;Mountain Dew (L3);2023;9;AI_forecast;AI_P05F;2023;4,09968E+15
Spain;Pepsi Max (L3);2023;12;AI_forecast;AI_P08F;2023;1,08887E+16
Netherlands;7up Free (L3);2023;2;AI_forecast;AI_PF;2023;1,1391E+16
Netherlands;Pepsi Regular (L3);2023;9;AI_forecast;AI_P08F;2023;5,28246E+15
Czech;Pepsi Max (L3);2024;1;AI_forecast;AI_P08F;2023;3,82911E+15
Spain;7up Free (L3);2023;12;AI_forecast;AI_P10F;2023;7,1842E+15
Spain;Pepsi Regular (L3);2024;5;AI_forecast;AI_P12F;2023;1,32872E+15
Denmark;Mountain Dew (L3);2024;10;AI_forecast;AI_P07F;2023;4,17159E+16
Spain;7up (L3);2024;3;AI_forecast;AI_P02F;2023;4,53654E+15
Netherlands;Pepsi Regular (L3);2025;4;AI_forecast;AI_P11F;2023;3,43372E+16
Denmark;Pepsi Max (L3);2024;6;AI_forecast;AI_P11F;2023;2,77387E+16
Great Britain;Mountain Dew (L3);2023;12;AI_forecast;AI_PF;2023;1,14676E+16
Great Britain;7up (L3);2024;2;AI_forecast;AI_P11F;2023;8,4678E+14
Norway;Pepsi Max (L3);2024;8;AI_forecast;AI_P06F;2023;3,63702E+16
Denmark;Pepsi Max (L3);2023;10;AI_forecast;AI_P08F;2023;2,47938E+15
Denmark;Pepsi Max (L3);2025;5;AI_forecast;AI_P12F;2023;2,76047E+15
Great Britain;Mountain Dew (L3);2023;11;AI_forecast;AI_P11F;2023;1,5166E+16
Great Britain;7up (L3);2024;4;AI_forecast;AI_P04F;2023;1,43514E+16
Spain;Pepsi Regular (L3);2024;3;AI_forecast;AI_P11F;2023;1,43427E+15
Spain;Pepsi Regular (L3);2025;3;AI_forecast;AI_P11F;2023;1,62684E+16
Spain;Pepsi Regular (L3);2024;6;AI_forecast;AI_P06F;2023;1,47376E+16
Norway;Pepsi Max (L3);2024;11;AI_forecast;AI_P09F;2023;2,76463E+16
Hungary;7up Free (L3);2024;9;AI_forecast;AI_P07F;2023;3,28621E+14
Czech;Mountain Dew (L3);2023;9;AI_forecast;AI_P03F;2023;7,13491E+15
Great Britain;7up Free (L3);2024;11;AI_forecast;AI_P12F;2023;5,96903E+15
Netherlands;Pepsi Max (L3);2025;1;AI_forecast;AI_P12F;2023;7,8361E+15
Denmark;Pepsi Regular (L3);2024;10;AI_forecast;AI_P06F;2023;1,68553E+16
Netherlands;Pepsi Max (L3);2024;4;AI_forecast;AI_P04F;2023;7,3086E+15
Norway;Pepsi Max (L3);2023;12;AI_forecast;AI_P08F;2023;2,74217E+15
Czech;Pepsi Regular (L3);2024;4;AI_forecast;AI_P02F;2023;1,00157E+16
Hungary;Lipton (L3);2024;4;AI_forecast;AI_P10F;2023;2,77245E+15
Spain;7up (L3);2024;3;AI_forecast;AI_P03F;2023;5,81729E+15
Great Britain;Mountain Dew (L3);2024;11;AI_forecast;AI_P07F;2023;1,61294E+16
Great Britain;7up Free (L3);2024;2;AI_forecast;AI_P02F;2023;8,79545E+15
Italy;7up (L3);2024;2;AI_forecast;AI_P07F;2023;1,41266E+16
Czech;Pepsi Regular (L3);2024;5;AI_forecast;AI_PF;2023;9,72503E+15
Portugal;7up Free (L3);2024;5;AI_forecast;AI_P10F;2023;1,40681E+16
Hungary;7up Free (L3);2024;6;AI_forecast;AI_P05F;2023;3,31059E+15
Hungary;Pepsi Max (L3);2025;1;AI_forecast;AI_P11F;2023;3,31667E+15
Great Britain;Pepsi Max (L3);2024;1;AI_forecast;AI_P05F;2023;8,66701E+15
Great Britain;Mountain Dew (L3);2024;2;AI_forecast;AI_P06F;2023;1,43069E+16
Norway;Pepsi Max (L3);2024;4;AI_forecast;AI_PF;2023;2,90173E+16
Norway;Pepsi Max (L3);2024;2;AI_forecast;AI_P09F;2023;1,93785E+16
Denmark;Mountain Dew (L3);2024;7;AI_forecast;AI_P04F;2023;2,29939E+15
Netherlands;Pepsi Regular (L3);2024;7;AI_forecast;AI_P05F;2023;5,68722E+15
Great Britain;Pepsi Regular (L3);2024;5;AI_forecast;AI_P09F;2023;1,49582E+16
Great Britain;7up Free (L3);2023;11;AI_forecast;AI_PF;2023;1,20583E+16
Norway;Pepsi Regular (L3);2023;11;AI_forecast;AI_P09F;2023;3,67641E+13
Hungary;Lipton (L3);2023;10;AI_forecast;AI_P10F;2023;3,25761E+15
Italy;Pepsi Max (L3);2024;6;AI_forecast;AI_PF;2023;1,68569E+15
Czech;Mountain Dew (L3);2023;3;AI_forecast;AI_P03F;2023;7,44672E+14
Czech;Lipton (L3);2024;11;AI_forecast;AI_P11F;2023;2,26353E+16
Great Britain;Lipton (L3);2023;10;AI_forecast;AI_P10F;2023;6,16437E+15
Czech;Pepsi Max (L3);2023;9;AI_forecast;AI_P04F;2023;3,94649E+16
Spain;Pepsi Max (L3);2024;7;AI_forecast;AI_P08F;2023;1,09054E+16
Great Britain;Mountain Dew (L3);2024;3;AI_forecast;AI_P05F;2023;1,44915E+16
Hungary;Pepsi Regular (L3);2024;4;AI_forecast;AI_P08F;2023;6,54063E+15
Netherlands;Pepsi Max (L3);2024;1;AI_forecast;AI_P06F;2023;7,50854E+15
Czech;7up (L3);2025;1;AI_forecast;AI_P10F;2023;4,07418E+15
Spain;Pepsi Regular (L3);2025;3;AI_forecast;AI_P12F;2023;9,22241E+15
Hungary;Lipton (L3);2024;7;AI_forecast;AI_P07F;2023;3,98504E+16
Norway;Pepsi Regular (L3);2025;3;AI_forecast;AI_P11F;2023;2,68112E+16
Spain;7up (L3);2024;2;AI_forecast;AI_P08F;2023;5,94164E+15
Czech;Mountain Dew (L3);2023;10;AI_forecast;AI_P08F;2023;9,51726E+14
Great Britain;Pepsi Regular (L3);2024;3;AI_forecast;AI_P03F;2023;1,54662E+15
Spain;Pepsi Max (L3);2024;8;AI_forecast;AI_P11F;2023;1,48819E+13
Great Britain;7up (L3);2023;12;AI_forecast;AI_P12F;2023;2,27498E+16
Denmark;7up (L3);2023;10;AI_forecast;AI_P09F;2023;0
Portugal;Pepsi Max (L3);2023;7;AI_forecast;AI_P04F;2023;2,24473E+16
Czech;Lipton (L3);2023;12;AI_forecast;AI_P07F;2023;2,64083E+16
Denmark;Pepsi Max (L3);2024;12;AI_forecast;AI_P08F;2023;2,9285E+16
Netherlands;7up Free (L3);2024;4;AI_forecast;AI_P04F;2023;9,46989E+15
Great Britain;7up (L3);2023;12;AI_forecast;AI_P09F;2023;1,59359E+16
Spain;Lipton (L3);2023;6;AI_forecast;AI_P06F;2023;1,23626E+16
Great Britain;7up (L3);2023;3;AI_forecast;AI_PF;2023;2,73571E+16
Denmark;Pepsi Regular (L3);2023;11;AI_forecast;AI_P05F;2023;1,91729E+16
Norway;Pepsi Regular (L3);2024;8;AI_forecast;AI_P03F;2023;3,92987E+15
Norway;Lipton (L3);2024;3;AI_forecast;AI_P12F;2023;1,5609E+16
Norway;7up Free (L3);2023;3;AI_forecast;AI_PF;2023;3,68051E+16
Denmark;7up Free (L3);2024;1;AI_forecast;AI_P11F;2023;2,25322E+15
Denmark;Pepsi Max (L3);2024;3;AI_forecast;AI_P10F;2023;2,0115E+15
Great Britain;Lipton (L3);2024;11;AI_forecast;AI_P07F;2023;6,37474E+15
Great Britain;Lipton (L3);2024;3;AI_forecast;AI_P09F;2023;6,72427E+15
Norway;Pepsi Max (L3);2023;6;AI_forecast;AI_P04F;2023;2,59874E+16
Spain;Pepsi Regular (L3);2024;7;AI_forecast;AI_P11F;2023;1,76061E+14
Netherlands;Lipton (L3);2023;7;AI_forecast;AI_P06F;2023;2,16939E+15
Portugal;Lipton (L3);2024;11;AI_forecast;AI_P09F;2023;6,19012E+15
Hungary;Pepsi Max (L3);2024;6;AI_forecast;AI_P06F;2023;6,21319E+15
Spain;Pepsi Max (L3);2024;4;AI_forecast;AI_P07F;2023;7,90849E+15
Spain;Lipton (L3);2023;11;AI_forecast;AI_P02F;2023;6,67463E+15
Norway;Pepsi Regular (L3);2024;6;AI_forecast;AI_P06F;2023;4,85698E+16
Italy;7up (L3);2023;5;AI_forecast;AI_P05F;2023;2,81097E+15
Norway;Pepsi Max (L3);2024;11;AI_forecast;AI_P11F;2023;2,23387E+16
Norway;Pepsi Max (L3);2023;9;AI_forecast;AI_P03F;2023;2,12571E+16
Netherlands;Lipton (L3);2023;12;AI_forecast;AI_P12F;2023;1,34622E+15
Spain;Pepsi Max (L3);2024;4;AI_forecast;AI_P11F;2023;1,0673E+16
Norway;7up (L3);2024;5;AI_forecast;AI_P10F;2023;3,77107E+16
Netherlands;Pepsi Max (L3);2023;2;AI_forecast;AI_PF;2023;7,3714E+15
Norway;Pepsi Max (L3);2024;2;AI_forecast;AI_PF;2023;2,4284E+16
Netherlands;7up (L3);2024;5;AI_forecast;AI_P09F;2023;8,30643E+15
Spain;Pepsi Regular (L3);2023;7;AI_forecast;AI_P02F;2023;1,51395E+16
Portugal;Lipton (L3);2024;8;AI_forecast;AI_P06F;2023;1,31462E+15
Italy;Pepsi Max (L3);2023;5;AI_forecast;AI_P02F;2023;1,52502E+16
Czech;Pepsi Regular (L3);2024;6;AI_forecast;AI_PF;2023;1,16085E+16
Italy;7up (L3);2023;7;AI_forecast;AI_P03F;2023;2,55044E+16
Netherlands;Lipton (L3);2024;3;AI_forecast;AI_P08F;2023;1,41192E+16
Portugal;Pepsi Regular (L3);2023;4;AI_forecast;AI_P04F;2023;1,6773E+16
Italy;7up (L3);2024;6;AI_forecast;AI_P02F;2023;2,69081E+15
Great Britain;Pepsi Max (L3);2023;2;AI_forecast;AI_PF;2023;1,11742E+23
Denmark;Pepsi Max (L3);2025;4;AI_forecast;AI_P11F;2023;2,48672E+15
Great Britain;Lipton (L3);2024;7;AI_forecast;AI_P03F;2023;8,87562E+15
Spain;Pepsi Max (L3);2024;9;AI_forecast;AI_P11F;2023;1,60614E+16
Portugal;7up (L3);2024;10;AI_forecast;AI_P08F;2023;2,24131E+16
Great Britain;Mountain Dew (L3);2024;5;AI_forecast;AI_P05F;2023;1,77805E+16
Spain;Lipton (L3);2024;7;AI_forecast;AI_P11F;2023;1,46311E+16
Great Britain;7up (L3);2025;3;AI_forecast;AI_P10F;2023;2,23883E+16
Great Britain;7up (L3);2024;9;AI_forecast;AI_P05F;2023;3,7974E+15
Czech;7up (L3);2024;1;AI_forecast;AI_PF;2023;4,78672E+14
Spain;Pepsi Regular (L3);2024;11;AI_forecast;AI_P09F;2023;2,39532E+16
Spain;Pepsi Regular (L3);2024;5;AI_forecast;AI_P10F;2023;1,02657E+16
Netherlands;Pepsi Regular (L3);2024;2;AI_forecast;AI_P10F;2023;4,5867E+16
Hungary;Pepsi Max (L3);2023;12;AI_forecast;AI_P09F;2023;5,54584E+15
Denmark;Pepsi Max (L3);2024;2;AI_forecast;AI_P08F;2023;2,68111E+16
Denmark;Pepsi Max (L3);2024;12;AI_forecast;AI_P11F;2023;2,81222E+16
Great Britain;7up Free (L3);2023;8;AI_forecast;AI_PF;2023;1,5664E+16
Spain;Pepsi Max (L3);2024;6;AI_forecast;AI_P05F;2023;1,14588E+16
Norway;7up (L3);2024;12;AI_forecast;AI_P07F;2023;0
Norway;Mountain Dew (L3);2023;10;AI_forecast;AI_P07F;2023;3,44022E+14
Czech;Pepsi Regular (L3);2023;7;AI_forecast;AI_P02F;2023;1,03227E+16
Norway;Pepsi Max (L3);2024;3;AI_forecast;AI_P07F;2023;2,95125E+16
Spain;Pepsi Regular (L3);2024;7;AI_forecast;AI_P07F;2023;2,76491E+16
Norway;Lipton (L3);2024;10;AI_forecast;AI_P05F;2023;1,05369E+16
Denmark;Pepsi Regular (L3);2024;11;AI_forecast;AI_P08F;2023;2,01366E+16
Netherlands;Pepsi Max (L3);2024;6;AI_forecast;AI_P02F;2023;1,20966E+16
Great Britain;7up (L3);2023;9;AI_forecast;AI_P06F;2023;2,13333E+16
Hungary;Lipton (L3);2023;9;AI_forecast;AI_P03F;2023;4,04187E+16
Denmark;7up Free (L3);2024;7;AI_forecast;AI_P11F;2023;2,77614E+16
Great Britain;Pepsi Regular (L3);2023;2;AI_forecast;AI_P02F;2023;1,11918E+16
Hungary;7up (L3);2023;10;AI_forecast;AI_P05F;2023;4,01296E+15
Hungary;Pepsi Regular (L3);2024;10;AI_forecast;AI_P12F;2023;9,02127E+15
Netherlands;Pepsi Max (L3);2023;9;AI_forecast;AI_P04F;2023;9,23119E+15
Spain;7up Free (L3);2024;6;AI_forecast;AI_P05F;2023;7,22772E+15
Great Britain;7up (L3);2023;5;AI_forecast;AI_P05F;2023;1,44797E+16
Norway;Pepsi Regular (L3);2024;8;AI_forecast;AI_P05F;2023;4,18592E+15
Hungary;Pepsi Max (L3);2024;4;AI_forecast;AI_P02F;2023;3,54651E+16
Great Britain;Pepsi Regular (L3);2023;9;AI_forecast;AI_P03F;2023;1,99361E+16
Denmark;Pepsi Max (L3);2024;3;AI_forecast;AI_P06F;2023;2,32655E+15
Great Britain;Pepsi Regular (L3);2024;10;AI_forecast;AI_P06F;2023;1,18238E+15
Hungary;Mountain Dew (L3);2023;11;AI_forecast;AI_P06F;2023;3,39363E+15
Great Britain;7up Free (L3);2023;7;AI_forecast;AI_P05F;2023;1,52538E+16
Denmark;Pepsi Regular (L3);2023;6;AI_forecast;AI_P03F;2023;1,49639E+16
Spain;Pepsi Regular (L3);2024;5;AI_forecast;AI_P07F;2023;1,28734E+15
Czech;Pepsi Regular (L3);2024;4;AI_forecast;AI_P05F;2023;1,05169E+16
Norway;Pepsi Regular (L3);2023;8;AI_forecast;AI_P08F;2023;4,57498E+15
Norway;Pepsi Max (L3);2023;8;AI_forecast;AI_P04F;2023;3,14483E+15
Netherlands;Lipton (L3);2023;12;AI_forecast;AI_P06F;2023;1,74283E+16
Portugal;Pepsi Max (L3);2024;11;AI_forecast;AI_P10F;2023;2,07506E+16
Netherlands;Pepsi Regular (L3);2023;9;AI_forecast;AI_PF;2023;5,96367E+14
Hungary;Mountain Dew (L3);2023;11;AI_forecast;AI_P03F;2023;3,41653E+15
Italy;Pepsi Regular (L3);2023;8;AI_forecast;AI_P08F;2023;2,0512E+16
Great Britain;Lipton (L3);2024;11;AI_forecast;AI_P06F;2023;6,13891E+15
Netherlands;7up Free (L3);2024;4;AI_forecast;AI_P07F;2023;1,3411E+16
Spain;7up Free (L3);2024;9;AI_forecast;AI_P11F;2023;8,83619E+15
Czech;Pepsi Regular (L3);2023;4;AI_forecast;AI_P02F;2023;1,03114E+16
Netherlands;Pepsi Max (L3);2023;7;AI_forecast;AI_P06F;2023;8,72798E+15
Great Britain;7up (L3);2024;2;AI_forecast;AI_P10F;2023;8,16369E+15
Great Britain;7up (L3);2024;1;AI_forecast;AI_P07F;2023;0
Norway;Pepsi Max (L3);2025;2;AI_forecast;AI_P11F;2023;2,92517E+16
Spain;Pepsi Regular (L3);2024;6;AI_forecast;AI_P05F;2023;1,41947E+16
Norway;Pepsi Max (L3);2024;4;AI_forecast;AI_P07F;2023;3,25008E+16
Norway;Lipton (L3);2023;10;AI_forecast;AI_P09F;2023;8,42031E+15
Great Britain;Lipton (L3);2024;10;AI_forecast;AI_P07F;2023;6,79649E+15
Denmark;Pepsi Max (L3);2024;5;AI_forecast;AI_P09F;2023;3,34491E+15
Great Britain;Lipton (L3);2024;10;AI_forecast;AI_P11F;2023;7,32671E+15
Italy;Pepsi Regular (L3);2023;9;AI_forecast;AI_P07F;2023;1,73101E+16
Great Britain;7up Free (L3);2024;12;AI_forecast;AI_P07F;2023;5,79639E+14
Great Britain;Mountain Dew (L3);2024;1;AI_forecast;AI_P08F;2023;1,12784E+16
Spain;Pepsi Max (L3);2023;11;AI_forecast;AI_P07F;2023;1,10578E+16
Portugal;7up (L3);2023;2;AI_forecast;AI_PF;2023;2,41608E+16
Great Britain;Mountain Dew (L3);2023;11;AI_forecast;AI_P04F;2023;1,60755E+15
Great Britain;7up (L3);2023;3;AI_forecast;AI_P03F;2023;3,85858E+16
Norway;Pepsi Max (L3);2023;11;AI_forecast;AI_P08F;2023;2,22662E+16
Norway;Lipton (L3);2024;10;AI_forecast;AI_P07F;2023;1,0739E+16
Denmark;7up Free (L3);2024;6;AI_forecast;AI_P11F;2023;2,25234E+15
Spain;7up (L3);2023;6;AI_forecast;AI_P04F;2023;8,33504E+15
Hungary;Pepsi Max (L3);2024;7;AI_forecast;AI_P04F;2023;4,25717E+15
Spain;Pepsi Max (L3);2024;1;AI_forecast;AI_P07F;2023;1,26996E+16
Netherlands;Pepsi Regular (L3);2024;6;AI_forecast;AI_P07F;2023;5,15547E+16
Spain;7up (L3);2023;10;AI_forecast;AI_P05F;2023;7,76414E+15
Denmark;Pepsi Max (L3);2024;1;AI_forecast;AI_P06F;2023;2,025E+16
Great Britain;Lipton (L3);2023;9;AI_forecast;AI_P09F;2023;6,83587E+15
Denmark;Pepsi Max (L3);2024;5;AI_forecast;AI_P10F;2023;2,14884E+16
Czech;Lipton (L3);2023;8;AI_forecast;AI_P07F;2023;3,45425E+15
Hungary;7up (L3);2023;5;AI_forecast;AI_P05F;2023;6,69174E+15
Denmark;Mountain Dew (L3);2024;5;AI_forecast;AI_PF;2023;1,87406E+16
Denmark;Pepsi Max (L3);2024;1;AI_forecast;AI_P08F;2023;1,77197E+16
Great Britain;7up Free (L3);2023;11;AI_forecast;AI_PF;2023;1,49062E+16
Netherlands;Pepsi Max (L3);2023;10;AI_forecast;AI_P06F;2023;8,57027E+15
Portugal;Lipton (L3);2023;8;AI_forecast;AI_P05F;2023;1,25844E+15
Great Britain;Pepsi Max (L3);2025;3;AI_forecast;AI_P12F;2023;1,00063E+21
Hungary;Pepsi Max (L3);2023;9;AI_forecast;AI_P09F;2023;5,55478E+14
Denmark;Pepsi Max (L3);2023;8;AI_forecast;AI_P04F;2023;2,17414E+16
Italy;Pepsi Max (L3);2024;10;AI_forecast;AI_P08F;2023;1,72704E+15
Hungary;Mountain Dew (L3);2024;1;AI_forecast;AI_P02F;2023;3,71046E+15
Great Britain;7up Free (L3);2024;7;AI_forecast;AI_P09F;2023;1,84712E+16
Great Britain;7up Free (L3);2024;10;AI_forecast;AI_P05F;2023;8,51122E+15
Netherlands;Pepsi Max (L3);2024;2;AI_forecast;AI_P12F;2023;8,483E+15
Netherlands;Pepsi Max (L3);2023;9;AI_forecast;AI_P07F;2023;9,12704E+15
Norway;Pepsi Max (L3);2024;6;AI_forecast;AI_P06F;2023;2,88603E+16
Hungary;Pepsi Max (L3);2023;2;AI_forecast;AI_PF;2023;4,38844E+15
Netherlands;Pepsi Regular (L3);2024;1;AI_forecast;AI_P10F;2023;5,26278E+15
Denmark;Pepsi Regular (L3);2024;1;AI_forecast;AI_P10F;2023;2,18086E+16
Netherlands;Pepsi Max (L3);2023;3;AI_forecast;AI_P03F;2023;8,55036E+15
Netherlands;Lipton (L3);2024;2;AI_forecast;AI_P06F;2023;1,24719E+16
Portugal;Lipton (L3);2023;6;AI_forecast;AI_P06F;2023;9,51173E+15
Portugal;Lipton (L3);2023;9;AI_forecast;AI_PF;2023;7,24507E+15
Hungary;Pepsi Max (L3);2023;11;AI_forecast;AI_P11F;2023;4,14434E+15
Czech;Mountain Dew (L3);2023;12;AI_forecast;AI_P11F;2023;8,2253E+15
Great Britain;Pepsi Regular (L3);2024;7;AI_forecast;AI_P12F;2023;1,19931E+16
Great Britain;7up Free (L3);2025;1;AI_forecast;AI_P09F;2023;3,75749E+16
Great Britain;7up Free (L3);2023;12;AI_forecast;AI_P12F;2023;1,32179E+15
Great Britain;7up Free (L3);2024;9;AI_forecast;AI_P12F;2023;7,61855E+15
Great Britain;7up (L3);2023;6;AI_forecast;AI_P02F;2023;3,42857E+15
Spain;Lipton (L3);2024;12;AI_forecast;AI_P07F;2023;1,30711E+16
Norway;7up Free (L3);2024;4;AI_forecast;AI_PF;2023;3,57413E+16
Great Britain;Lipton (L3);2024;1;AI_forecast;AI_P11F;2023;5,44906E+15
Denmark;Pepsi Max (L3);2024;10;AI_forecast;AI_P08F;2023;2,65623E+16
Netherlands;Pepsi Max (L3);2024;6;AI_forecast;AI_PF;2023;1,1573E+16
Netherlands;Pepsi Max (L3);2024;3;AI_forecast;AI_P04F;2023;8,55145E+15
Great Britain;7up (L3);2023;4;AI_forecast;AI_P03F;2023;1,42104E+15
Portugal;Pepsi Regular (L3);2024;6;AI_forecast;AI_PF;2023;1,21288E+16
Spain;Pepsi Regular (L3);2023;8;AI_forecast;AI_P06F;2023;2,15205E+16
Portugal;Lipton (L3);2024;4;AI_forecast;AI_P10F;2023;6,48678E+15
Great Britain;Pepsi Max (L3);2023;9;AI_forecast;AI_P02F;2023;1,15717E+21
Great Britain;Pepsi Max (L3);2023;3;AI_forecast;AI_P03F;2023;1,17859E+23
Great Britain;Pepsi Regular (L3);2023;12;AI_forecast;AI_PF;2023;1,31575E+16
Great Britain;7up Free (L3);2023;6;AI_forecast;AI_P06F;2023;1,56749E+16
Great Britain;7up (L3);2024;5;AI_forecast;AI_P09F;2023;7,83702E+15
Norway;Mountain Dew (L3);2023;7;AI_forecast;AI_PF;2023;1,22761E+16
Portugal;Pepsi Max (L3);2023;4;AI_forecast;AI_P03F;2023;1,73699E+16
Portugal;7up Free (L3);2024;4;AI_forecast;AI_P10F;2023;1,33353E+16
Great Britain;Lipton (L3);2024;4;AI_forecast;AI_P09F;2023;7,67275E+15
Netherlands;Pepsi Max (L3);2024;7;AI_forecast;AI_P12F;2023;9,53532E+15
Netherlands;7up (L3);2023;11;AI_forecast;AI_P04F;2023;6,42927E+15
Norway;Pepsi Max (L3);2025;4;AI_forecast;AI_P11F;2023;2,31992E+16
Denmark;7up Free (L3);2023;9;AI_forecast;AI_P03F;2023;1,01978E+16
Hungary;Pepsi Max (L3);2023;9;AI_forecast;AI_P03F;2023;4,86429E+16
Great Britain;Pepsi Regular (L3);2023;4;AI_forecast;AI_PF;2023;1,36196E+16
Italy;Pepsi Max (L3);2025;4;AI_forecast;AI_P11F;2023;2,04106E+14
Czech;Pepsi Regular (L3);2024;3;AI_forecast;AI_P10F;2023;1,00784E+16
Netherlands;Lipton (L3);2024;6;AI_forecast;AI_PF;2023;1,82913E+15
Portugal;Pepsi Regular (L3);2024;3;AI_forecast;AI_P03F;2023;1,31401E+16
Portugal;Pepsi Max (L3);2023;5;AI_forecast;AI_P02F;2023;1,63084E+16
Hungary;7up Free (L3);2023;11;AI_forecast;AI_P03F;2023;1,33238E+16
Great Britain;Pepsi Max (L3);2023;10;AI_forecast;AI_PF;2023;1,02697E+23
Hungary;Mountain Dew (L3);2024;11;AI_forecast;AI_P08F;2023;3,63945E+15
Italy;Pepsi Regular (L3);2024;8;AI_forecast;AI_P11F;2023;2,03724E+16
Netherlands;Pepsi Max (L3);2023;10;AI_forecast;AI_P10F;2023;9,19664E+14
